id,age,educ,polviews,spanking,gender
1840,48,8,4, ,0
79,19,10,4, ,0
1733,49,8,1, ,0
960,65,4, , ,1
1756,21,10,3,2,0
1064,22,10,4,1,0
561,23,10, , ,0
1870,38,9,3,4,0
1951,24,10,4, ,0
1127,53,8,2,1,0
1492,27,10,4,2,0
2505,86,3, ,1,1
2551,28,10, ,1,0
47,29,7,2, ,1
403,46,9,2, ,0
934,61,8,4,1,0
1580,47,9,4,2,0
1033,18,11,3,3,0
807,48,9,3,2,0
2785,77,7, ,2,0
1069,49,9,4,1,0
4,50,6, ,2,1
2616,51,9,4,2,0
1233,23,8, ,1,1
1183,66,8,4, ,0
1760,38,10,6,1,0
2561,67,8, , ,0
2012,69,8,5,1,0
37,55,9,4,2,0
2669,84,7,4,2,0
2490,71,5,5,2,1
2801,27,11,4,2,0
2657,28,8,4,1,1
762,42,10,3, ,0
1543,71,8,5, ,0
2572,72,8,6,4,0
2656,29,11,4,1,0
1459,58,9,4,2,0
1159,30,8,4, ,1
552,88,4,3, ,1
2568,74,5, ,2,1
502,75,5, ,2,1
2763,60,9,2,1,0
1005,32,11,4, ,0
1071,61,9,6,3,0
797,33,8,7,1,1
2369,47,10,5, ,0
1559,62,9,6, ,0
2323,77,8,4, ,0
769,49,7,4,1,1
2562,35,8, ,2,1
2852,78,8,5, ,0
1891,21,9, ,1,1
1292,35,11,6, ,0
2177,37,12,5,2,1
103,37,12,5,3,1
2517,37,12,4, ,1
1491,37,12,4,2,1
2383,37,12, ,2,1
1057,37,12,4, ,1
356,37,12,2,1,1
958,37,12,4,2,1
2273,37,12,2,2,1
2198,37,12,6,2,1
2821,37,12,5, ,1
127,37,12,4,3,1
498,64,9,3, ,0
999,22,9,4, ,1
2588,80,5,4,1,1
2728,51,10,5,1,0
1862,23,9,4, ,1
1320,52,7,4,1,1
1553,52,10,1,3,0
2478,81,8,5, ,0
2404,24,9,3,2,1
2297,82,5, ,2,1
763,38,11,4,1,0
2860,67,9,5, ,0
2509,25,9,3,1,1
2425,69,6,2, ,1
357,55,7,6,2,1
2487,40,11,2,3,0
1217,70,6,6,1,1
2570,55,10,5,2,0
1560,70,9,6, ,0
71,42,8, ,2,1
1858,56,10,7,1,0
1230,42,11,3,4,0
534,59,7,4, ,1
1131,73,9, ,2,0
499,74,6,4,2,1
1227,31,9, , ,1
1514,60,7,4,1,1
2080,46,8,2, ,1
1327,18,10,4, ,1
1720,76,6, , ,1
1112,33,9, ,2,1
2513,47,11, ,1,0
2482,76,9,4,1,0
717,34,9,4, ,1
2001,48,11,6,4,0
677,19,13, , ,0
2575,20,10, , ,1
102,21,10,4,3,1
781,64,10,6, ,0
2555,65,7,4, ,1
1554,51,8,4,1,1
2632,66,7,4,1,1
1670,51,11,2, ,0
933,24,10, ,3,1
2856,53,8,4, ,1
1572,68,7,5,2,1
1861,53,11,4,1,0
1661,25,13,7,3,0
2269,69,10,5,2,0
5,56,8,4,2,1
2734,70,10,4,1,0
1171,28,10,4,2,1
106,43,9,4,2,1
2659,58,8, ,1,1
1611,58,11, ,2,0
2592,45,9,3,1,1
2878,74,10,3,2,0
246,75,7,3,1,1
583,32,10,5,2,1
2703,48,9,3,1,1
791,34,10,2,2,1
133,63,8, , ,1
167,20,14,4,2,0
482,78,10,4,2,0
2248,64,11,5,2,0
500,65,8,6, ,1
2489,80,7, ,2,1
2691,65,11,4,1,0
1797,37,10, ,3,1
2276,38,10,4, ,1
387,23,14,4, ,0
636,82,7,6,4,1
302,38,13,4, ,0
1184,68,8,7,1,1
1734,26,8,4,1,0
1489,26,8, , ,0
2543,24,14,2, ,0
964,54,9,4,1,1
